Country,Year,Age Group,,No Schooling,Primary Total,Primary Completed,Secondary Total,Secondary Completed,Tertiary Total,Tertiary Completed,Avg. Years of Total Schooling,Avg. Years of Primary Schooling,Avg. Years of Secondary Schooling,Avg. Years of Tertiary Schooling,"Population
(1000s)",Region
,1990,15,64,4.8,15.08,14.41,61.97,44.24,18.16,9,10.465,5.692,4.229,0.543,29648,East Asia and the Pacific
,1995,15,64,2.73,12.43,11.88,60.68,45.9,24.13,12.89,11.168,5.818,4.61,0.74,31856,East Asia and the Pacific
,2000,15,64,2.07,9.65,9.13,55.57,43.84,32.7,18.12,11.801,5.86,4.925,1.016,33587,East Asia and the Pacific
,2005,15,64,1.4,7.24,6.82,56.67,46.95,34.69,24.22,12.272,5.904,5.19,1.178,34415,East Asia and the Pacific
,2010,15,64,0.7,5.49,5.17,46.62,39.31,47.09,33.57,12.959,5.942,5.403,1.613,35381,East Asia and the Pacific
,2015,15,64,1.08,5.16,4.84,47.34,40.64,46.46,27.54,12.835,5.928,5.427,1.48,37283,East Asia and the Pacific
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Singapore,1950,15,64,60.16,22.66,8.19,16.19,4.78,1,0.8,2.795,1.956,0.803,0.036,585,East Asia and the Pacific
,1955,15,64,55.09,25.19,9.3,18.55,6.02,1.16,0.95,3.192,2.218,0.932,0.042,738,East Asia and the Pacific
,1960,15,64,48.18,27.52,10.52,22.71,7.68,1.59,1.26,3.813,2.599,1.157,0.057,895,East Asia and the Pacific
,1965,15,64,41.11,28.75,11.55,28.06,9.63,2.07,1.59,4.53,3.017,1.439,0.073,1009,East Asia and the Pacific
,1970,15,64,31.56,30.66,13.18,35.74,12.48,2.02,1.49,5.452,3.581,1.801,0.07,1201,East Asia and the Pacific
,1975,15,64,29.35,37.23,17.48,30.63,9.92,2.79,2.22,5.337,3.646,1.591,0.1,1428,East Asia and the Pacific
,1980,15,64,26.14,40.14,19.96,30.24,10.56,3.46,2.82,5.58,3.825,1.629,0.126,1647,East Asia and the Pacific
,1985,15,64,16.26,46,23.41,34.05,10.68,3.69,3.05,6.278,4.346,1.797,0.135,1910,East Asia and the Pacific
,1990,15,64,7.99,49.09,25.88,39.35,9.78,3.56,3.03,6.939,4.824,1.983,0.132,2200,East Asia and the Pacific
,1995,15,64,10.65,29.65,15.74,48.04,23.09,11.65,9.91,8.457,4.943,3.083,0.431,2486,East Asia and the Pacific
,2000,15,64,12.96,11.37,6.02,58.63,46.89,17.04,14.78,10.003,5.062,4.305,0.636,2854,East Asia and the Pacific
,2005,15,64,4.89,29.29,16.15,47.44,38.83,18.38,15.64,9.77,5.313,3.777,0.68,3116,East Asia and the Pacific
,2010,15,64,8.85,6.36,3.45,47.21,36.99,37.58,30.39,11.625,5.382,4.883,1.36,3412,East Asia and the Pacific
,2015,15,64,0.83,6.01,3.44,44.84,30.47,48.31,39.41,12.766,5.873,5.139,1.754,4380,East Asia and the Pacific
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Taiwan,1950,15,64,44.3,34.88,28.51,17.56,7.99,3.26,1.61,3.159,2.1,0.962,0.097,4337,East Asia and the Pacific
,1955,15,64,37.97,39.48,32.27,19.24,8.68,3.31,1.64,3.472,2.337,1.036,0.099,4915,East Asia and the Pacific
,1960,15,64,32.83,42.9,34.39,20.62,9.79,3.64,1.75,3.755,2.516,1.131,0.108,5620,East Asia and the Pacific
,1965,15,64,27.15,45.66,37.46,22.76,11.44,4.51,1.82,4.176,2.753,1.296,0.127,6626,East Asia and the Pacific
,1970,15,64,22.26,45.44,38.2,25.72,13.38,6.59,1.96,5.095,3.356,1.568,0.171,8425,East Asia and the Pacific
,1975,15,64,18.44,40.79,34.95,34.12,19.92,6.67,2.36,6.065,3.863,2.022,0.181,9882,East Asia and the Pacific
,1980,15,64,14.19,35.55,30.88,40.12,23.15,10.2,3.61,7.101,4.314,2.51,0.276,11330,East Asia and the Pacific
,1985,15,64,10.28,31.35,25.68,46.21,26.96,12.16,4.17,7.889,4.638,2.925,0.327,12620,East Asia and the Pacific
,1990,15,64,6.97,27.63,21.67,49.14,29.54,16.26,4.87,8.683,4.924,3.336,0.423,13608,East Asia and the Pacific
,1995,15,64,3.99,22.23,17,53.13,32.14,20.65,5.61,9.548,5.225,3.797,0.525,14649,East Asia and the Pacific
,2000,15,64,1.88,16.63,12.83,55.68,34.58,25.81,6.3,10.38,5.481,4.256,0.642,15652,East Asia and the Pacific
,2005,15,64,0.8,11.8,10.68,52.01,36.15,35.4,8.12,11.348,5.709,4.768,0.87,16295,East Asia and the Pacific
,2010,15,64,0.4,7.86,7.16,49.58,35.59,42.15,8.69,11.961,5.86,5.084,1.017,16632,East Asia and the Pacific
,2015,15,64,0.32,5.49,5,47.6,35.24,46.58,8.92,12.356,5.966,5.28,1.11,17378,East Asia and the Pacific
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thailand,1950,15,64,48.06,45.1,34.99,6.26,1.44,0.59,0.24,2.159,1.876,0.266,0.017,10720,East Asia and the Pacific
,1955,15,64,41.21,51.46,40.55,6.75,1.57,0.59,0.28,2.436,2.134,0.285,0.017,12354,East Asia and the Pacific
,1960,15,64,35.04,57.04,44.15,7.29,1.81,0.68,0.3,2.677,2.343,0.314,0.02,14023,East Asia and the Pacific
,1965,15,64,28.36,63.75,22.95,7.05,1.77,0.84,0.52,2.392,2.05,0.315,0.027,16083,East Asia and the Pacific
,1970,15,64,21.36,70.35,11.99,7.25,2.15,1.08,0.76,2.736,2.36,0.34,0.037,18880,East Asia and the Pacific
,1975,15,64,17.67,70.07,5.78,10.21,3.06,2.06,1.64,3.243,2.675,0.494,0.074,22321,East Asia and the Pacific
,1980,15,64,12.78,71.18,4.19,12.79,4.53,3.23,2.89,3.899,3.118,0.658,0.122,26518,East Asia and the Pacific
,1985,15,64,10.94,70.86,7.51,13.61,5.72,4.59,3.89,4.447,3.508,0.77,0.17,30806,East Asia and the Pacific
,1990,15,64,9.96,69.44,16.92,14.42,6.77,6.17,4.99,5.206,4.062,0.921,0.223,35102,East Asia and the Pacific
,1995,15,64,9.85,62.02,19.81,22.87,10.25,5.26,4.52,5.788,4.354,1.238,0.196,39020,East Asia and the Pacific
,2000,15,64,11.46,57.75,21.78,24.28,11.79,6.47,5.34,6.09,4.445,1.409,0.236,42037,East Asia and the Pacific
,2005,15,64,4.96,50.82,20.01,32.32,13.73,11.9,9.69,7.463,5,2.031,0.432,44408,East Asia and the Pacific
,2010,15,64,2.72,44.08,18.53,38.78,21.43,14.43,11.72,8.474,5.364,2.586,0.523,46578,East Asia and the Pacific
,2015,15,64,4.27,40.66,17.95,36.81,17.83,18.26,14.33,8.756,5.447,2.657,0.652,49078,East Asia and the Pacific
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tonga,1950,15,64,23.82,34.9,23.57,39.51,3.33,1.77,1,6.04,4.231,1.753,0.055,23,East Asia and the Pacific
,1955,15,64,21.94,35.06,22.82,41.32,3.52,1.69,1.01,6.195,4.317,1.825,0.054,28,East Asia and the Pacific
,1960,15,64,19.25,35.43,22.88,43.57,3.9,1.75,1.04,6.45,4.469,1.926,0.056,34,East Asia and the Pacific
,1965,15,64,16.67,34.49,22.42,47.09,4.54,1.75,1.02,6.773,4.638,2.08,0.055,40,East Asia and the Pacific
,1970,15,64,13.2,35.34,23.99,49.67,4.89,1.79,1.03,7.116,4.867,2.192,0.056,50,East Asia and the Pacific
,1975,15,64,9.56,31.53,21.58,56.8,6.99,2.11,1.14,7.732,5.128,2.539,0.065,47,East Asia and the Pacific
,1980,15,64,7.56,29.71,20.63,60.36,8.05,2.38,1.3,8.065,5.274,2.718,0.073,50,East Asia and the Pacific
,1985,15,64,7.25,28.23,20.09,62.18,8.81,2.33,1.35,7.996,5.32,2.602,0.074,51,East Asia and the Pacific
,1990,15,64,3.7,20.79,14.9,70.66,11.07,4.86,2.77,8.781,5.601,3.028,0.152,53,East Asia and the Pacific
,1995,15,64,1.02,15.06,10.84,77.59,12.7,6.33,3.97,9.476,5.812,3.458,0.206,54,East Asia and the Pacific
,2000,15,64,0.94,18.45,13.78,71.79,12.91,8.82,5.24,9.543,5.804,3.458,0.281,57,East Asia and the Pacific
,2005,15,64,0.86,22.02,16.65,66.28,12.97,10.87,6.6,9.562,5.789,3.423,0.349,61,East Asia and the Pacific
,2010,15,64,0.6,5.7,4.31,88.16,55.88,5.54,3.39,11.264,5.923,5.163,0.179,61,East Asia and the Pacific
,2015,15,64,0.07,3.78,2.86,95.99,58.22,0.16,0.1,11.294,5.968,5.321,0.005,59,East Asia and the Pacific
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Viet Nam,1950,15,64,49.61,34.8,11.86,15.29,3.95,0.3,0.18,2.551,1.946,0.595,0.01,17526,East Asia and the Pacific
,1955,15,64,48.69,36.18,12.63,14.81,3.89,0.32,0.2,2.567,1.977,0.58,0.01,18245,East Asia and the Pacific
,1960,15,64,41.96,39.53,14.42,17.97,4.92,0.54,0.29,3.01,2.274,0.719,0.017,18884,East Asia and the Pacific
,1965,15,64,35.51,42.24,16.33,21.52,5.96,0.73,0.4,3.468,2.577,0.868,0.023,19780,East Asia and the Pacific
,1970,15,64,29.18,40.89,16.88,29.07,8.03,0.86,0.47,4.132,2.941,1.164,0.027,21882,East Asia and the Pacific
,1975,15,64,23.22,39.85,17.75,35.92,10.06,1.02,0.56,4.759,3.287,1.44,0.031,24963,East Asia and the Pacific
,1980,15,64,17.68,37.5,17.93,43.86,12.46,0.96,0.56,5.404,3.627,1.747,0.03,28260,East Asia and the Pacific
,1985,15,64,13.48,57.61,30.53,27.18,7.69,1.74,1,4.854,3.649,1.15,0.055,32499,East Asia and the Pacific
,1990,15,64,10.66,75.33,42.39,12.03,3.58,1.98,1.28,4.296,3.644,0.587,0.065,37161,East Asia and the Pacific
,1995,15,64,9.2,65.54,38.11,22.3,6.53,2.96,1.68,5.014,3.854,1.067,0.093,42402,East Asia and the Pacific
,2000,15,64,9.13,52.89,31.42,33.89,9.77,4.09,2.31,5.828,4.007,1.693,0.128,48097,East Asia and the Pacific
,2005,15,64,12.23,37.13,22.51,45.19,14.44,5.46,3.1,6.553,4.023,2.358,0.171,54768,East Asia and the Pacific
,2010,15,64,15.59,20.75,12.48,57.86,20.15,5.8,3.62,7.24,4.014,3.038,0.188,61259,East Asia and the Pacific
,2015,15,64,13.82,17.26,10.02,61.94,23.85,6.98,4.09,7.771,4.128,3.422,0.221,65162,East Asia and the Pacific
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Albania,1950,15,64,39.29,50.6,33.29,9.43,2.63,0.69,0.32,2.75,2.193,0.537,0.02,655,Europe and Central Asia
,1955,15,64,37.24,50.95,32.94,10.7,3.44,1.11,0.57,2.925,2.243,0.649,0.034,751,Europe and Central Asia
,1960,15,64,43.79,35.18,25.39,19.18,5.94,1.84,0.92,3.228,2.133,1.039,0.055,865,Europe and Central Asia
,1965,15,64,40.04,34.25,25.24,22.95,7.32,2.76,1.34,3.633,2.291,1.26,0.082,978,Europe and Central Asia
,1970,15,64,34.18,32.37,24.55,30.06,10.55,3.4,1.72,4.633,2.976,1.555,0.102,1137,Europe and Central Asia
,1975,15,64,26.81,29.25,22.81,39.89,14.35,4.05,2.16,5.765,3.769,1.873,0.124,1335,Europe and Central Asia
,1980,15,64,19.73,24.77,18.97,51.02,19.1,4.48,2.51,6.951,4.65,2.161,0.14,1575,Europe and Central Asia
,1985,15,64,13.64,20.83,15.98,60.39,23.49,5.14,3.07,7.931,5.37,2.397,0.164,1783,Europe and Central Asia
,1990,15,64,10.15,16.91,12.79,67.25,26.44,5.68,3.48,8.611,5.914,2.513,0.183,2037,Europe and Central Asia
,1995,15,64,13.06,15.27,11.73,65.88,26.47,5.79,3.63,8.537,5.926,2.422,0.188,1945,Europe and Central Asia
,2000,15,64,0.57,13.73,11.41,79.24,29.32,6.46,4.22,9.931,6.925,2.793,0.213,1920,Europe and Central Asia
,2005,15,64,1.29,8.26,7.65,86.26,35.07,4.18,2.6,10.237,7.218,2.884,0.136,2026,Europe and Central Asia
,2010,15,64,1.39,4.08,3.85,92.58,46.65,1.95,1.12,10.437,6.922,3.453,0.061,2139,Europe and Central Asia
,2015,15,64,2.46,3.22,2.83,78.34,34.48,15.98,9.3,10.972,6.742,3.725,0.506,1988,Europe and Central Asia
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Armenia,1950,15,64,7.5,31.7,25.18,51.42,33.78,9.38,5.55,7.38,3.57,3.511,0.299,790,Europe and Central Asia
,1955,15,64,6.68,31.39,25.03,52.48,33.88,9.45,5.52,7.465,3.606,3.56,0.299,938,Europe and Central Asia
,1960,15,64,4.58,27.35,22.2,56.54,39.19,11.53,6.59,8.067,3.714,3.991,0.362,1031,Europe and Central Asia
,1965,15,64,4.09,25.23,20.66,58.79,40.89,11.89,7.15,8.272,3.745,4.147,0.381,1165,Europe and Central Asia
,1970,15,64,3.71,21.58,17.93,61.87,44.96,12.84,7.4,8.616,3.778,4.433,0.405,1391,Europe and Central Asia
,1975,15,64,3.04,17.59,14.76,64.94,48.68,14.43,8.04,9.023,3.822,4.752,0.449,1692,Europe and Central Asia
,1980,15,64,2.25,13.99,11.83,68.14,53.77,15.62,8.7,9.675,4.548,4.641,0.486,1971,Europe and Central Asia
,1985,15,64,1.53,11.42,9.66,69.78,56.69,17.28,10.2,10.154,5.075,4.53,0.55,2151,Europe and Central Asia
,1990,15,64,1.05,8.81,7.49,72.42,59.92,17.72,11.04,10.573,5.492,4.506,0.575,2269,Europe and Central Asia
,1995,15,64,0.58,6.04,5.24,74.97,62.26,18.41,11.72,10.717,5.504,4.61,0.603,2005,Europe and Central Asia
,2000,15,64,0.22,3.91,3.58,78.2,65.14,17.67,11.56,10.754,5.23,4.939,0.585,1975,Europe and Central Asia
,2005,15,64,0.31,2.76,2.57,76.69,64.58,20.24,12.43,10.809,4.957,5.199,0.654,2024,Europe and Central Asia
,2010,15,64,0.35,1.46,1.37,75.64,66.01,22.56,13.94,10.945,4.746,5.469,0.73,2121,Europe and Central Asia
,2015,15,64,0.55,0.94,0.93,54.45,46.87,44.05,24.66,11.766,4.775,5.617,1.374,2020,Europe and Central Asia
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bulgaria,1950,15,64,14.27,67.96,22.11,14.83,2.75,2.94,1.93,3.966,2.591,1.277,0.098,4821,Europe and Central Asia
,1955,15,64,10.64,63.7,24.4,22.61,6,3.03,2.13,4.823,2.831,1.89,0.103,4951,Europe and Central Asia
,1960,15,64,8.3,64.35,28.06,22.66,7.26,4.84,3,5.24,2.948,2.135,0.157,5226,Europe and Central Asia
,1965,15,64,6.57,74.1,38.73,14.95,5.76,4.39,3.14,4.712,3.03,1.532,0.151,5533,Europe and Central Asia
,1970,15,64,4.74,60.5,38.9,26.19,11.34,8.57,4.7,6.536,3.845,2.426,0.265,5737,Europe and Central Asia
,1975,15,64,3.23,53.32,37.38,32.49,15.44,10.99,6.14,7.408,4.444,2.622,0.343,5849,Europe and Central Asia
,1980,15,64,2.92,45.3,33.43,38.93,20.56,12.86,7.74,8.146,4.909,2.825,0.412,5849,Europe and Central Asia
,1985,15,64,2.78,38.14,29.18,44.14,24.72,14.91,9.26,8.762,5.289,2.99,0.483,6041,Europe and Central Asia
,1990,15,64,2.48,39.28,32.73,43.77,27.84,14.33,9.57,8.675,5.366,2.831,0.478,5804,Europe and Central Asia
,1995,15,64,1.79,36.44,31.01,44.96,30,16.81,10.37,9.309,5.811,2.954,0.544,5556,Europe and Central Asia
,2000,15,64,1.24,32.88,27.89,48.53,33.69,17.35,11.48,9.654,6.237,2.841,0.577,5432,Europe and Central Asia
,2005,15,64,1.55,16.76,14.94,60.86,41.62,20.83,13.03,10.61,6.677,3.256,0.677,5365,Europe and Central Asia
,2010,15,64,2.01,3.56,3.22,71.7,50.79,22.73,15.05,11.069,6.718,3.596,0.756,5201,Europe and Central Asia
,2015,15,64,1.88,3.7,3.39,70.32,49.82,24.1,16.02,11.199,6.81,3.587,0.802,4731,Europe and Central Asia
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Croatia,1950,15,64,29.42,57.44,51.05,10.89,4.43,2.25,1.36,5.859,5.39,0.396,0.072,2518,Europe and Central Asia
,1955,15,64,26.94,57.28,51.12,13.24,5.56,2.55,1.53,6.158,5.599,0.478,0.082,2612,Europe and Central Asia
,1960,15,64,23.61,56.66,51.65,16.61,7.65,3.13,1.83,6.62,5.911,0.61,0.099,2643,Europe and Central Asia
,1965,15,64,20.65,57.17,50.94,18.71,9.14,3.46,2.06,6.904,6.098,0.696,0.11,2721,Europe and Central Asia
,1970,15,64,16.99,55.05,49.22,23.81,13.02,4.14,2.39,7.441,6.408,0.902,0.131,2816,Europe and Central Asia
,1975,15,64,13.34,52.52,47.52,29.24,16.88,4.91,2.82,8.006,6.733,1.119,0.154,2879,Europe and Central Asia
,1980,15,64,10.38,49.07,44.3,34.97,21.6,5.58,3.24,8.51,6.979,1.355,0.176,2943,Europe and Central Asia
,1985,15,64,8.12,46.22,42.08,39.56,25.29,6.11,3.8,8.924,7.185,1.541,0.198,3064,Europe and Central Asia
,1990,15,64,5.45,43.13,39.28,45.54,30.56,5.88,3.9,9.019,7.025,1.798,0.196,3079,Europe and Central Asia
,1995,15,64,3.63,32.12,17.32,56.27,35.35,7.98,5.08,9.186,6.38,2.545,0.261,3175,Europe and Central Asia
,2000,15,64,2.06,21.15,11.92,65.72,43.41,11.08,6.95,10.105,6.317,3.427,0.361,3039,Europe and Central Asia
,2005,15,64,1.33,9.97,5.84,73.53,51.37,15.17,9.43,11.221,6.518,4.211,0.492,3060,Europe and Central Asia
,2010,15,64,0.54,0.17,0.1,81.57,59.07,17.71,11.63,11.869,6.397,4.885,0.587,3088,Europe and Central Asia
,2015,15,64,0.52,0.14,0.08,79.65,59.43,19.7,12.72,11.984,6.054,5.282,0.648,2803,Europe and Central Asia
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Czech Republic,1950,15,64,0.71,80.6,50.81,16.93,8,1.76,0.97,8.22,7.596,0.569,0.055,6040,Europe and Central Asia
,1955,15,64,0.61,78.55,50.24,18.74,8.77,2.1,1.18,8.37,7.671,0.634,0.066,6065,Europe and Central Asia
,1960,15,64,0.5,76.4,49.31,21.01,9.48,2.05,1.23,8.49,7.733,0.692,0.066,6230,Europe and Central Asia
,1965,15,64,0.85,64.92,44.24,30.93,15.99,3.3,1.76,9.165,7.993,1.07,0.101,6470,Europe and Central Asia
,1970,15,64,0.41,53.93,38.46,42.05,25.31,3.63,2.13,9.876,8.269,1.492,0.115,6532,Europe and Central Asia
,1975,15,64,0.35,46.58,33.67,47.78,31.09,5.3,2.83,10.34,8.388,1.789,0.163,6481,Europe and Central Asia
,1980,15,64,0.31,41.19,30.53,52.58,36.89,5.81,3.29,10.687,8.483,2.022,0.182,6496,Europe and Central Asia
,1985,15,64,1.14,39.75,30.04,48.66,36.97,10.45,5.46,10.909,8.46,2.13,0.318,6686,Europe and Central Asia
,1990,15,64,0.72,34.23,26.32,52.17,40.95,12.87,7,11.354,8.579,2.377,0.397,6807,Europe and Central Asia
,1995,15,64,0.48,12.91,10.29,74.73,56.38,11.88,6.16,12.298,8.839,3.098,0.361,7043,Europe and Central Asia
,2000,15,64,0.4,0.21,0.17,88.69,69.19,10.69,5.57,12.776,8.866,3.585,0.325,7162,Europe and Central Asia
,2005,15,64,0.12,0.51,0.46,87.96,72.24,11.43,5.92,12.813,8.805,3.662,0.347,7272,Europe and Central Asia
,2010,15,64,0.17,0.88,0.82,83.22,69.87,15.75,7.94,12.803,8.47,3.859,0.474,7199,Europe and Central Asia
,2015,15,64,0.2,0.94,0.85,79.06,67.25,19.8,9.69,12.924,8.173,4.162,0.59,7092,Europe and Central Asia
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Estonia,1950,15,64,12.19,67.69,66.08,16.12,7.93,3.9,2.26,6.293,5.215,0.956,0.123,702,Europe and Central Asia
,1955,15,64,10.19,67.17,66.07,17.83,8.35,4.75,2.78,6.574,5.352,1.071,0.151,764,Europe and Central Asia
,1960,15,64,7.93,64.19,62.93,21.56,10.28,6.27,3.57,7.011,5.483,1.331,0.197,812,Europe and Central Asia
,1965,15,64,6.13,61.67,60.46,24.68,11.91,7.49,4.4,7.379,5.594,1.547,0.238,854,Europe and Central Asia
,1970,15,64,4.35,58.01,56.26,28.6,15.58,9.04,5.25,7.841,5.687,1.868,0.286,903,Europe and Central Asia
,1975,15,64,2.9,52.26,50.65,34.29,19.49,10.56,6.12,8.358,5.778,2.247,0.334,945,Europe and Central Asia
,1980,15,64,2.19,44.1,42.19,41.6,26.04,12.1,7.07,8.95,5.811,2.755,0.383,970,Europe and Central Asia
,1985,15,64,1.49,39.29,37.47,46.06,30.77,13.16,8.22,9.378,5.856,3.094,0.427,1009,Europe and Central Asia
,1990,15,64,0.76,34.3,32.27,51.94,36.78,12.99,8.55,9.764,5.893,3.441,0.431,1051,Europe and Central Asia
,1995,15,64,0.4,19.4,18.41,59.63,41.95,20.57,13.13,10.902,5.946,4.282,0.674,951,Europe and Central Asia
,2000,15,64,0.19,6.14,5.92,67.34,46.73,26.34,17.61,11.864,5.982,5.003,0.879,914,Europe and Central Asia
,2005,15,64,0.19,4.86,4.75,66.56,46.9,28.44,18.3,12.034,5.989,5.11,0.935,907,Europe and Central Asia
,2010,15,64,0.21,3.21,3.13,65.74,49.46,30.84,20.38,12.316,5.985,5.307,1.025,897,Europe and Central Asia
,2015,15,64,0.54,2.42,2.35,63.75,47.77,33.3,21.76,12.411,5.966,5.344,1.101,855,Europe and Central Asia
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Hungary,1950,15,64,3.56,87.49,65.35,6.21,2.01,2.74,2.25,7.203,6.83,0.274,0.1,6309,Europe and Central Asia
,1955,15,64,3.05,86.37,65.78,7.5,2.13,3.08,2.55,7.361,6.932,0.316,0.113,6500,Europe and Central Asia
,1960,15,64,2.6,84.39,65.4,9.77,2.76,3.22,2.74,7.531,7.032,0.38,0.119,6553,Europe and Central Asia
,1965,15,64,2.06,82.55,65.99,11.9,3.33,3.53,3.02,7.752,7.175,0.446,0.131,6744,Europe and Central Asia
,1970,15,64,1.57,76.65,64.86,16.54,5.91,5.3,4.67,8.267,7.407,0.661,0.199,6993,Europe and Central Asia
,1975,15,64,1.21,65.72,57.44,26.46,11.52,6.61,5.99,8.848,7.572,1.024,0.252,7061,Europe and Central Asia
,1980,15,64,0.77,55.6,49.99,35.96,17.64,7.64,7.28,9.388,7.712,1.378,0.298,6920,Europe and Central Asia
,1985,15,64,0.93,53.53,42.24,36.4,19.54,9.15,8.53,9.312,7.474,1.485,0.353,6998,Europe and Central Asia
,1990,15,64,0.92,50.27,38.91,39.25,23.16,9.56,9.03,9.475,7.472,1.631,0.372,6885,Europe and Central Asia
,1995,15,64,0.95,21.68,18.41,65.91,37.42,11.45,10.04,10.748,7.793,2.525,0.43,7000,Europe and Central Asia
,2000,15,64,0.6,3.42,2.98,84.09,51.47,11.89,10.72,11.574,7.934,3.187,0.452,6993,Europe and Central Asia
,2005,15,64,0.52,3.2,2.8,79.82,54.53,16.47,13.63,11.89,7.943,3.346,0.602,6975,Europe and Central Asia
,2010,15,64,0.28,1.31,1.15,80.31,57.82,18.1,16.05,11.981,7.622,3.676,0.683,6905,Europe and Central Asia
,2015,15,64,0.38,3.08,2.8,75.67,55.05,20.9,18.15,12,7.279,3.939,0.781,6657,Europe and Central Asia
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Kazakhstan,1950,15,64,38.54,48.63,17.38,9.98,4.98,2.85,1.63,2.721,1.833,0.798,0.09,3962,Europe and Central Asia
,1955,15,64,32.69,52.45,19.6,11.63,6.37,3.23,1.87,3.073,2.036,0.935,0.102,4945,Europe and Central Asia
,1960,15,64,26.27,50.97,19.38,17.49,10.62,5.27,2.81,3.935,2.317,1.456,0.162,5803,Europe and Central Asia
,1965,15,64,21.9,51.11,20.31,20.48,14.08,6.51,3.58,4.471,2.508,1.761,0.202,6653,Europe and Central Asia
,1970,15,64,16.91,49.55,21.05,25.84,19.07,7.7,4.2,5.204,2.754,2.212,0.238,7479,Europe and Central Asia
,1975,15,64,12.26,43.84,19.74,34.84,28.65,9.06,4.98,6.258,3.028,2.949,0.281,8438,Europe and Central Asia
,1980,15,64,8.15,36.34,17.15,45.37,38.99,10.14,5.72,7.366,3.29,3.758,0.317,9176,Europe and Central Asia
,1985,15,64,5,32.33,15.97,51.5,45.59,11.17,6.74,8.1,3.473,4.269,0.358,9828,Europe and Central Asia
,1990,15,64,2.42,29.19,15.18,57.76,52.16,10.66,6.92,8.654,3.624,4.678,0.352,10394,Europe and Central Asia
,1995,15,64,1.4,15.94,8.64,69.4,62.54,13.26,8.28,9.878,3.798,5.649,0.431,10063,Europe and Central Asia
,2000,15,64,0.4,3.86,1.92,80.61,72.04,15.13,9.71,10.972,3.945,6.53,0.497,9854,Europe and Central Asia
,2005,15,64,0.01,0.78,0.51,78.94,71.85,20.32,13.07,11.469,3.996,6.806,0.668,10133,Europe and Central Asia
,2010,15,64,0.14,2.42,1.7,76.32,64.32,21.13,13.18,11.248,3.98,6.582,0.686,10419,Europe and Central Asia
,2015,15,64,0.1,1.51,1.18,76.82,66.5,21.54,13.52,11.367,3.988,6.678,0.701,11693,Europe and Central Asia
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Kyrgyzstan,1950,15,64,26.08,49.06,29.02,20.15,10,4.71,2.77,4.242,2.556,1.537,0.149,1095,Europe and Central Asia
,1955,15,64,22.25,49.05,29.34,23.56,11.43,5.13,2.99,4.644,2.716,1.766,0.163,1187,Europe and Central Asia
,1960,15,64,17.24,54.31,33.85,21.86,12.88,6.6,3.74,4.921,2.902,1.812,0.207,1228,Europe and Central Asia
,1965,15,64,14.16,52.69,33.1,25.65,15.27,7.49,4.4,5.392,3.042,2.113,0.238,1340,Europe and Central Asia
,1970,15,64,10.98,50.27,34,30.15,20.06,8.6,4.9,6.016,3.235,2.511,0.27,1545,Europe and Central Asia
,1975,15,64,8.06,43.62,30.04,38.24,26.92,10.08,5.58,6.876,3.406,3.156,0.313,1788,Europe and Central Asia
,1980,15,64,5.55,34.21,24.13,48.96,37.01,11.28,6.32,7.906,3.576,3.978,0.352,2072,Europe and Central Asia
,1985,15,64,3.67,29.72,21.26,54.14,43.36,12.47,7.43,8.529,3.684,4.447,0.398,2320,Europe and Central Asia
,1990,15,64,2.16,25.49,19.04,59.94,49.38,12.41,7.75,9.041,3.784,4.853,0.403,2524,Europe and Central Asia
