Country,Year,Age Group,,No Schooling,Primary Total,Primary Completed,Secondary Total,Secondary Completed,Tertiary Total,Tertiary Completed,Avg. Years of Total Schooling,Avg. Years of Primary Schooling,Avg. Years of Secondary Schooling,Avg. Years of Tertiary Schooling,"Population
(1000s)",Region
,2000,15,64,1.06,6.68,6.33,53.53,42.97,38.74,19.41,12.28,5.926,5.191,1.163,17018,East Asia and the Pacific
,2005,15,64,0.89,5.04,4.76,55.65,47.3,38.42,25.84,12.617,5.938,5.394,1.285,17455,East Asia and the Pacific
,2010,15,64,0.47,3.72,3.51,44.09,38.09,51.58,35.59,13.261,5.957,5.56,1.743,17989,East Asia and the Pacific
,2015,15,64,0.5,3.86,3.59,45.76,39.82,49.88,30.09,13.122,5.962,5.56,1.599,19103,East Asia and the Pacific
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Singapore,1950,15,64,43.32,33.67,12.27,21.45,4.92,1.56,1.35,3.867,2.759,1.05,0.058,311,East Asia and the Pacific
,1955,15,64,38.84,35.41,13.22,23.99,7.04,1.75,1.49,4.274,3.004,1.205,0.065,400,East Asia and the Pacific
,1960,15,64,32.98,36.35,13.98,28.33,9.08,2.34,1.9,4.89,3.35,1.455,0.085,482,East Asia and the Pacific
,1965,15,64,26.46,36.47,14.77,34.15,11.99,2.91,2.35,5.646,3.761,1.78,0.105,526,East Asia and the Pacific
,1970,15,64,19.37,36.31,15.6,41.42,15.38,2.88,2.16,6.453,4.215,2.137,0.101,617,East Asia and the Pacific
,1975,15,64,20.43,41.98,19.76,33.93,11.99,3.66,3.08,6.059,4.108,1.817,0.135,733,East Asia and the Pacific
,1980,15,64,19.63,43.66,21.79,32.43,12.47,4.28,3.63,6.128,4.166,1.803,0.158,843,East Asia and the Pacific
,1985,15,64,10.93,49.14,25.01,36.18,11.67,3.76,3.21,6.666,4.621,1.906,0.139,975,East Asia and the Pacific
,1990,15,64,4.33,51.08,26.84,41.44,8.32,3.14,2.74,7.143,5.013,2.013,0.118,1106,East Asia and the Pacific
,1995,15,64,7.65,30.07,16.14,50.24,22.39,12.04,10.46,8.753,5.123,3.18,0.45,1250,East Asia and the Pacific
,2000,15,64,10.33,10.85,5.9,61.19,48.56,17.63,15.79,10.377,5.232,4.476,0.668,1439,East Asia and the Pacific
,2005,15,64,2.66,29.05,16.41,48.25,39.41,20.04,17.38,10.13,5.461,3.921,0.748,1575,East Asia and the Pacific
,2010,15,64,7.3,5.83,2.91,47.49,37.41,39.38,31.91,11.911,5.474,5.01,1.426,1725,East Asia and the Pacific
,2015,15,64,0.83,6.15,3.69,44.15,30.35,48.87,39.65,12.789,5.877,5.142,1.77,2338,East Asia and the Pacific
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Taiwan,1950,15,64,28.74,42,35.3,23.69,11.26,5.56,3.65,4.283,2.716,1.382,0.184,2278,East Asia and the Pacific
,1955,15,64,22.54,45.29,39.48,26.45,13.01,5.72,3.28,4.689,2.982,1.527,0.18,2533,East Asia and the Pacific
,1960,15,64,18,47.42,44.86,28.46,14.85,6.12,3.47,5.087,3.229,1.667,0.192,2894,East Asia and the Pacific
,1965,15,64,14.51,48.21,46.01,30.5,16,6.83,3.54,5.392,3.378,1.805,0.208,3435,East Asia and the Pacific
,1970,15,64,13.05,45.6,43.38,31.98,17.51,9.37,3.45,6.131,3.828,2.047,0.256,4542,East Asia and the Pacific
,1975,15,64,11.5,40.07,38.28,39.65,23.39,8.85,3.75,6.89,4.216,2.422,0.252,5266,East Asia and the Pacific
,1980,15,64,9.61,35.25,33.41,40.91,20.74,14.35,5.8,7.651,4.537,2.711,0.403,5966,East Asia and the Pacific
,1985,15,64,6.87,31.14,27.02,45.87,23.02,16.12,5.99,8.268,4.793,3.034,0.442,6575,East Asia and the Pacific
,1990,15,64,4.39,27.71,22.25,49.44,25.37,18.47,5.99,8.869,5.028,3.352,0.489,7014,East Asia and the Pacific
,1995,15,64,2.1,21.07,16.19,53.77,28.84,23.05,5.82,9.751,5.312,3.861,0.577,7463,East Asia and the Pacific
,2000,15,64,0.63,14.08,11.07,58.02,35.46,27.26,5.41,10.655,5.561,4.44,0.653,7932,East Asia and the Pacific
,2005,15,64,0.21,9.26,8.53,54.1,37.24,36.43,6.24,11.53,5.751,4.926,0.853,8236,East Asia and the Pacific
,2010,15,64,0.18,3.57,3.28,51.7,36.73,44.55,6.18,12.292,5.952,5.326,1.015,7770,East Asia and the Pacific
,2015,15,64,0.29,3.87,3.54,49.12,35.5,46.72,5.78,12.365,5.973,5.342,1.05,8691,East Asia and the Pacific
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thailand,1950,15,64,37.88,52.12,40.17,9.12,1.74,0.89,0.41,2.651,2.246,0.379,0.026,5371,East Asia and the Pacific
,1955,15,64,32.01,57.45,45.22,9.7,1.89,0.84,0.44,2.899,2.475,0.398,0.026,6182,East Asia and the Pacific
,1960,15,64,26.71,62.13,48.17,10.4,2.17,0.91,0.46,3.117,2.658,0.432,0.027,7024,East Asia and the Pacific
,1965,15,64,20.42,68.67,24.78,9.78,2.08,1.13,0.74,2.767,2.305,0.424,0.037,8057,East Asia and the Pacific
,1970,15,64,14.48,74.74,13.13,9.41,2.37,1.38,1.05,3.062,2.584,0.43,0.049,9436,East Asia and the Pacific
,1975,15,64,12.39,72.46,6.65,12.69,3.26,2.46,2.01,3.578,2.891,0.598,0.089,11141,East Asia and the Pacific
,1980,15,64,9.15,71.66,4.89,15.56,4.67,3.55,3.21,4.206,3.305,0.765,0.135,13219,East Asia and the Pacific
,1985,15,64,8.6,70.8,8.44,15.59,5.43,5,4.23,4.688,3.655,0.848,0.185,15337,East Asia and the Pacific
,1990,15,64,8.68,68.89,17.94,15.76,6.25,6.68,5.3,5.387,4.172,0.975,0.24,17453,East Asia and the Pacific
,1995,15,64,8.23,59.12,18.93,27.3,10.6,5.35,4.56,6.092,4.51,1.385,0.198,19323,East Asia and the Pacific
,2000,15,64,10.4,56.45,22.62,26.91,12.79,6.19,5.04,6.292,4.572,1.495,0.225,20703,East Asia and the Pacific
,2005,15,64,3.46,50.48,21.25,34.85,14.62,11.21,8.96,7.631,5.143,2.085,0.403,21805,East Asia and the Pacific
,2010,15,64,2.67,42.8,19.5,41.87,22.82,12.65,10.03,8.494,5.434,2.606,0.454,22833,East Asia and the Pacific
,2015,15,64,3.55,40.47,19.21,38.86,18.21,17.12,12.98,8.79,5.535,2.653,0.602,24015,East Asia and the Pacific
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tonga,1950,15,64,23.75,31.59,21.86,42.31,4.13,2.36,1.48,6.277,4.284,1.917,0.077,11.8,East Asia and the Pacific
,1955,15,64,19.94,33.62,21.01,44.06,4.16,2.38,1.54,6.492,4.425,1.988,0.079,14.4,East Asia and the Pacific
,1960,15,64,16.62,34.89,20.65,45.96,4.59,2.53,1.6,6.74,4.576,2.082,0.083,16.9,East Asia and the Pacific
,1965,15,64,15.74,31.4,19.83,50.42,5.23,2.44,1.53,7.057,4.709,2.268,0.079,19.9,East Asia and the Pacific
,1970,15,64,12.47,33.7,22.34,51.45,5.45,2.38,1.45,7.298,4.911,2.31,0.077,27.5,East Asia and the Pacific
,1975,15,64,8.87,28.05,18.53,60.32,7.69,2.76,1.6,8.002,5.182,2.732,0.087,23.5,East Asia and the Pacific
,1980,15,64,7.09,27.78,18.89,62.19,8.54,2.95,1.67,8.236,5.308,2.835,0.092,26,East Asia and the Pacific
,1985,15,64,6.57,25.57,17.7,64.95,9.45,2.91,1.75,8.205,5.37,2.743,0.093,26,East Asia and the Pacific
,1990,15,64,3.28,18.27,12.81,72.68,11.7,5.77,3.34,8.964,5.64,3.142,0.182,26,East Asia and the Pacific
,1995,15,64,1.13,14.95,10.51,76.87,12.67,7.04,4.49,9.494,5.799,3.464,0.231,28,East Asia and the Pacific
,2000,15,64,0.96,18.42,13.46,71.07,12.62,9.55,5.83,9.538,5.793,3.437,0.308,28,East Asia and the Pacific
,2005,15,64,0.87,22.18,16.87,65.8,12.39,11.2,6.93,9.56,5.792,3.405,0.363,32,East Asia and the Pacific
,2010,15,64,0.63,5.48,4.1,88.04,53.86,5.85,3.68,11.239,5.921,5.127,0.19,31,East Asia and the Pacific
,2015,15,64,0.06,4.34,3.22,95.41,52.78,0.18,0.13,11.15,5.963,5.182,0.006,28,East Asia and the Pacific
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Viet Nam,1950,15,64,39.29,39.76,13.87,20.43,6.21,0.53,0.35,3.237,2.389,0.831,0.017,8730,East Asia and the Pacific
,1955,15,64,37.92,41.23,14.81,20.29,6.28,0.56,0.37,3.293,2.444,0.831,0.019,9089,East Asia and the Pacific
,1960,15,64,31.74,42.49,15.85,24.83,7.94,0.94,0.53,3.815,2.747,1.039,0.029,9398,East Asia and the Pacific
,1965,15,64,25.98,43.21,17.09,29.56,9.54,1.26,0.73,4.336,3.048,1.248,0.04,9832,East Asia and the Pacific
,1970,15,64,21.26,40.2,16.9,37.16,11.84,1.38,0.82,4.951,3.355,1.553,0.044,10878,East Asia and the Pacific
,1975,15,64,16.63,37.67,17.1,44.15,14.16,1.54,0.89,5.545,3.654,1.842,0.049,12394,East Asia and the Pacific
,1980,15,64,12.39,34.22,16.62,52.04,16.87,1.4,0.84,6.139,3.943,2.151,0.045,14017,East Asia and the Pacific
,1985,15,64,9.1,56.81,30.2,31.8,10.12,2.29,1.37,5.348,3.88,1.395,0.073,16104,East Asia and the Pacific
,1990,15,64,7.29,76.61,42.97,13.54,4.42,2.56,1.69,4.572,3.794,0.692,0.085,18416,East Asia and the Pacific
,1995,15,64,6.75,65.79,38.38,23.87,7.78,3.6,2.09,5.28,3.977,1.189,0.114,21042,East Asia and the Pacific
,2000,15,64,7.39,52.11,31.18,35.68,11.37,4.82,2.74,6.099,4.107,1.841,0.151,23911,East Asia and the Pacific
,2005,15,64,10.71,35.78,21.9,47.4,16.53,6.11,3.49,6.842,4.117,2.533,0.192,27274,East Asia and the Pacific
,2010,15,64,14.15,18.93,10.11,60.66,22.65,6.26,3.94,7.512,4.072,3.235,0.204,30542,East Asia and the Pacific
,2015,15,64,12.53,15.48,9.21,63.76,25.67,8.23,4.64,8.094,4.217,3.62,0.257,32662,East Asia and the Pacific
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Albania,1950,15,64,34,53.51,41.36,11.46,3.45,1.03,0.47,3.241,2.532,0.679,0.03,329,Europe and Central Asia
,1955,15,64,32.17,52.53,40.13,13.51,4.75,1.8,0.95,3.493,2.572,0.866,0.055,377,Europe and Central Asia
,1960,15,64,39.06,36.28,29.17,21.67,7.75,2.99,1.54,3.772,2.388,1.293,0.091,438,Europe and Central Asia
,1965,15,64,36.6,32.94,26.69,25.85,9.62,4.61,2.3,4.223,2.493,1.592,0.138,492,Europe and Central Asia
,1970,15,64,30.36,31.58,25.98,32.85,13.02,5.21,2.77,5.252,3.209,1.883,0.159,573,Europe and Central Asia
,1975,15,64,24.08,26.6,22.11,43.5,17.43,5.82,3.23,6.346,3.947,2.218,0.181,673,Europe and Central Asia
,1980,15,64,17.45,22.82,18.25,53.72,22.01,6.01,3.44,7.442,4.808,2.446,0.189,822,Europe and Central Asia
,1985,15,64,12.17,18.62,14.97,62.53,26.55,6.67,4.09,8.359,5.483,2.661,0.215,926,Europe and Central Asia
,1990,15,64,9.05,14.74,11.65,69.07,29.19,7.13,4.48,8.977,5.991,2.754,0.232,1052,Europe and Central Asia
,1995,15,64,12.35,13.74,10.7,67.04,28.61,6.88,4.43,8.781,5.948,2.608,0.226,988,Europe and Central Asia
,2000,15,64,0.48,11.93,9.95,80.19,31.45,7.41,5.02,10.119,6.903,2.967,0.249,953,Europe and Central Asia
,2005,15,64,1.26,7.28,6.72,87.09,37.38,4.36,2.84,10.344,7.198,3.002,0.144,1001,Europe and Central Asia
,2010,15,64,1.38,3.65,3.41,93.41,49.62,1.57,0.92,10.492,6.89,3.552,0.05,1056,Europe and Central Asia
,2015,15,64,2.16,3.38,3.35,75.35,32.17,19.1,10.55,11.135,6.764,3.778,0.593,1011,Europe and Central Asia
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Armenia,1950,15,64,5.74,30.75,24.82,51.37,33.86,12.14,7.77,7.74,3.652,3.69,0.398,375,Europe and Central Asia
,1955,15,64,5.05,30.79,25.16,52.04,33.64,12.11,7.66,7.791,3.685,3.71,0.396,444,Europe and Central Asia
,1960,15,64,3.17,25.5,21.1,57.31,39.76,14.02,8.74,8.437,3.785,4.197,0.455,484,Europe and Central Asia
,1965,15,64,3.02,23.38,19.48,59.37,41.4,14.24,9.31,8.607,3.801,4.335,0.471,546,Europe and Central Asia
,1970,15,64,3.17,19.94,16.88,62.26,45.06,14.63,9.13,8.855,3.812,4.568,0.475,666,Europe and Central Asia
,1975,15,64,2.75,16.12,13.75,65.05,48.57,16.08,9.38,9.214,3.843,4.862,0.509,818,Europe and Central Asia
,1980,15,64,2.08,12.89,11.11,67.92,53.09,17.12,9.58,9.807,4.584,4.689,0.534,958,Europe and Central Asia
,1985,15,64,1.08,11.2,9.71,69.26,55.72,18.45,11.06,10.277,5.138,4.549,0.59,1051,Europe and Central Asia
,1990,15,64,0.75,8.69,7.56,72.12,58.88,18.44,11.64,10.656,5.551,4.503,0.602,1101,Europe and Central Asia
,1995,15,64,0.44,6.05,5.38,74.59,60.94,18.92,12.17,10.746,5.528,4.596,0.622,942,Europe and Central Asia
,2000,15,64,0.21,4.11,3.82,78.17,63.25,17.51,11.7,10.702,5.209,4.908,0.584,911,Europe and Central Asia
,2005,15,64,0.31,3.16,2.97,76.97,62.69,19.56,12.08,10.699,4.89,5.176,0.633,926,Europe and Central Asia
,2010,15,64,0.35,1.54,1.46,76.69,65.18,21.41,13.31,10.837,4.651,5.492,0.695,970,Europe and Central Asia
,2015,15,64,0.68,0.9,0.89,58.18,48.91,40.24,23.6,11.624,4.716,5.631,1.277,936,Europe and Central Asia
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bulgaria,1950,15,64,7.72,72.55,27.35,15.71,3,4.02,3.26,4.476,2.886,1.445,0.146,2410,Europe and Central Asia
,1955,15,64,5.69,66.31,28.54,23.93,6.49,3.99,3.48,5.297,3.065,2.083,0.149,2477,Europe and Central Asia
,1960,15,64,4.68,66.47,32.59,22.77,7.49,6.17,4.57,5.639,3.141,2.283,0.215,2620,Europe and Central Asia
,1965,15,64,4.14,76.17,43.97,14.3,5.52,5.39,4.6,4.981,3.19,1.591,0.2,2779,Europe and Central Asia
,1970,15,64,2.97,61.2,42.17,25.88,11.09,10,6.35,6.852,3.976,2.549,0.327,2882,Europe and Central Asia
,1975,15,64,2.13,52.84,39.37,32.89,15.46,12.14,7.88,7.698,4.551,2.747,0.4,2930,Europe and Central Asia
,1980,15,64,2.38,44.09,34.25,39.94,20.99,13.61,9.24,8.38,4.986,2.937,0.457,2927,Europe and Central Asia
,1985,15,64,2.65,36.44,29.2,45.88,25.67,15.02,10.38,8.934,5.342,3.084,0.508,3020,Europe and Central Asia
,1990,15,64,1.91,40.21,34.67,44.84,28.57,12.89,9.55,8.689,5.437,2.804,0.449,2885,Europe and Central Asia
,1995,15,64,1.49,37.29,32.75,47.01,31.37,14.21,9.69,9.255,5.876,2.901,0.478,2753,Europe and Central Asia
,2000,15,64,1.16,33.97,29.6,50.96,35.54,13.91,10.11,9.533,6.293,2.76,0.48,2688,Europe and Central Asia
,2005,15,64,1.35,17.17,15.65,65.03,44.8,16.46,11.18,10.486,6.732,3.202,0.553,2658,Europe and Central Asia
,2010,15,64,1.74,3.18,2.92,77.18,54.77,17.9,12.85,10.953,6.749,3.589,0.615,2580,Europe and Central Asia
,2015,15,64,1.71,3.44,3.2,76.15,54.95,18.7,13.43,11.059,6.804,3.612,0.643,2388,Europe and Central Asia
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Croatia,1950,15,64,22.23,59.53,53.21,14.52,7.88,3.75,2.49,6.693,5.971,0.598,0.125,1184,Europe and Central Asia
,1955,15,64,19.81,58.03,52.14,18.02,9.98,4.16,2.78,7.047,6.182,0.726,0.139,1237,Europe and Central Asia
,1960,15,64,16.89,55.7,51,22.52,13.33,4.91,3.15,7.537,6.462,0.913,0.161,1255,Europe and Central Asia
,1965,15,64,14.81,54.8,47.96,25.13,15.63,5.28,3.42,7.744,6.543,1.026,0.174,1298,Europe and Central Asia
,1970,15,64,11.95,51.71,46.64,30.49,20.27,5.85,3.7,8.281,6.841,1.249,0.191,1369,Europe and Central Asia
,1975,15,64,9.16,48.11,43.8,36.2,24.97,6.53,4.03,8.791,7.095,1.485,0.211,1407,Europe and Central Asia
,1980,15,64,6.9,44.3,40.59,41.83,29.78,6.97,4.23,9.234,7.299,1.711,0.224,1447,Europe and Central Asia
,1985,15,64,5.2,41.22,38.03,46.28,33.48,7.3,4.74,9.584,7.456,1.887,0.241,1510,Europe and Central Asia
,1990,15,64,3.42,38.26,35.11,51.56,38.16,6.76,4.66,9.542,7.206,2.107,0.228,1530,Europe and Central Asia
,1995,15,64,2.29,28.25,15.77,61.17,42.08,8.29,5.54,9.642,6.563,2.803,0.277,1573,Europe and Central Asia
,2000,15,64,1.5,18.51,10.77,69.56,49.84,10.42,6.88,10.37,6.394,3.63,0.346,1508,Europe and Central Asia
,2005,15,64,1.09,8.84,5.3,76.52,57.1,13.56,8.7,11.325,6.536,4.344,0.445,1523,Europe and Central Asia
,2010,15,64,0.45,0.16,0.08,83.68,63.71,15.71,10.56,11.864,6.378,4.961,0.525,1540,Europe and Central Asia
,2015,15,64,0.48,0.13,0.08,82.18,64.56,17.2,11.37,11.962,6.025,5.365,0.571,1403,Europe and Central Asia
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Czech Republic,1950,15,64,0.52,72.38,45.15,24.14,15.46,2.96,1.9,8.736,7.728,0.91,0.097,2933,Europe and Central Asia
,1955,15,64,0.44,70.76,45.14,25.36,15.94,3.44,2.23,8.885,7.808,0.964,0.113,2948,Europe and Central Asia
,1960,15,64,0.34,69.37,44.3,26.95,15.97,3.26,2.23,8.934,7.835,0.989,0.11,3041,Europe and Central Asia
,1965,15,64,1.06,54.92,37.49,39.18,24.41,4.84,2.97,9.742,8.121,1.466,0.156,3174,Europe and Central Asia
,1970,15,64,0.37,41.45,30.2,53.06,36.6,5.18,3.44,10.638,8.465,2,0.172,3216,Europe and Central Asia
,1975,15,64,0.29,35.35,26.2,57.3,41.83,7.06,4.22,11.053,8.562,2.265,0.225,3197,Europe and Central Asia
,1980,15,64,0.27,32.3,24.58,59.87,46.67,7.56,4.7,11.302,8.625,2.433,0.244,3217,Europe and Central Asia
,1985,15,64,1.72,36.58,28.17,46.42,38.93,15.28,8.5,11.261,8.467,2.318,0.476,3312,Europe and Central Asia
,1990,15,64,1.1,34.64,26.94,44.73,37.35,19.55,11.15,11.593,8.556,2.423,0.614,3393,Europe and Central Asia
,1995,15,64,0.6,12.84,10.35,71.14,56.84,15.41,8.43,12.487,8.834,3.176,0.477,3517,Europe and Central Asia
,2000,15,64,0.41,0.24,0.19,87.65,71.65,11.7,6.33,12.878,8.863,3.654,0.361,3582,Europe and Central Asia
,2005,15,64,0.11,0.53,0.48,87.05,73.9,12.31,6.5,12.887,8.8,3.711,0.376,3642,Europe and Central Asia
,2010,15,64,0.22,0.94,0.88,83.18,71.94,15.66,7.95,12.825,8.453,3.9,0.472,3614,Europe and Central Asia
,2015,15,64,0.22,0.97,0.89,80.28,69.93,18.53,9.03,12.905,8.162,4.192,0.551,3595,Europe and Central Asia
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Estonia,1950,15,64,13.89,64.43,62.34,16.5,7.65,5.17,3.36,6.308,5.103,1.035,0.171,290,Europe and Central Asia
,1955,15,64,11.14,64.39,63.21,18.37,7.89,6.09,3.98,6.649,5.295,1.153,0.201,326,Europe and Central Asia
,1960,15,64,7.92,62.61,61.44,21.87,9.45,7.58,4.76,7.129,5.488,1.394,0.247,353,Europe and Central Asia
,1965,15,64,5.75,61.83,60.67,23.67,10.69,8.75,5.57,7.462,5.62,1.556,0.286,380,Europe and Central Asia
,1970,15,64,3.79,58.67,56.86,27.49,14.08,10.05,6.3,7.895,5.718,1.85,0.327,421,Europe and Central Asia
,1975,15,64,2.29,54.37,52.7,32.06,17.25,11.28,6.92,8.333,5.813,2.157,0.364,448,Europe and Central Asia
,1980,15,64,1.67,46.23,44.26,39.75,23.62,12.35,7.39,8.878,5.841,2.642,0.395,464,Europe and Central Asia
,1985,15,64,1.24,42.09,40.22,43.81,27.83,12.86,8.25,9.213,5.87,2.921,0.422,483,Europe and Central Asia
,1990,15,64,0.75,37.33,35.05,49.65,33.53,12.25,8.3,9.527,5.885,3.23,0.411,508,Europe and Central Asia
,1995,15,64,0.43,21.59,20.56,60.38,40.51,17.6,11.48,10.608,5.943,4.083,0.582,457,Europe and Central Asia
,2000,15,64,0.22,7.36,7.1,71.64,46.89,20.78,14.22,11.482,5.979,4.803,0.7,436,Europe and Central Asia
,2005,15,64,0.21,5.68,5.59,71.89,48.23,22.19,14.38,11.652,5.984,4.936,0.733,435,Europe and Central Asia
,2010,15,64,0.22,3.8,3.74,73.16,53.78,22.82,15.33,11.926,5.985,5.178,0.763,431,Europe and Central Asia
,2015,15,64,0.53,2.83,2.78,71.89,52.46,24.74,16.32,12.003,5.967,5.215,0.821,421,Europe and Central Asia
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Hungary,1950,15,64,3.02,85.39,64.33,7.05,2.44,4.53,3.96,7.457,6.916,0.371,0.17,3001,Europe and Central Asia
,1955,15,64,2.63,83.97,64.34,8.44,2.57,4.96,4.31,7.608,7.004,0.418,0.185,3117,Europe and Central Asia
,1960,15,64,2.21,82.46,64.13,10.27,3.13,5.03,4.33,7.744,7.088,0.469,0.187,3148,Europe and Central Asia
,1965,15,64,1.72,80.87,64.64,12.11,3.71,5.37,4.76,7.953,7.219,0.531,0.203,3259,Europe and Central Asia
,1970,15,64,1.29,75.94,64.48,15.69,5.99,7.14,6.57,8.437,7.443,0.719,0.274,3410,Europe and Central Asia
,1975,15,64,0.94,62.38,54.41,28.43,13.97,8.25,7.91,9.107,7.606,1.178,0.323,3462,Europe and Central Asia
,1980,15,64,0.52,49.71,44.43,40.8,22.04,8.95,8.82,9.715,7.745,1.615,0.355,3397,Europe and Central Asia
,1985,15,64,0.7,48.24,38.57,41.01,24.15,10.05,9.79,9.66,7.557,1.705,0.397,3434,Europe and Central Asia
,1990,15,64,0.82,45.76,36.36,43.36,27.65,10.06,9.84,9.779,7.559,1.823,0.398,3375,Europe and Central Asia
,1995,15,64,0.85,19.34,16.54,68.4,41.59,11.42,10.43,10.914,7.82,2.656,0.437,3436,Europe and Central Asia
,2000,15,64,0.58,3.04,2.64,84.98,55.08,11.4,10.59,11.635,7.938,3.257,0.44,3438,Europe and Central Asia
,2005,15,64,0.53,2.93,2.56,81.55,58.7,14.94,12.6,11.892,7.938,3.402,0.551,3442,Europe and Central Asia
,2010,15,64,0.25,1.23,1.09,82.78,62.05,15.74,14.16,11.929,7.613,3.718,0.598,3420,Europe and Central Asia
,2015,15,64,0.34,2.83,2.56,79.02,59.5,17.82,15.62,11.914,7.255,3.99,0.669,3287,Europe and Central Asia
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Kazakhstan,1950,15,64,32.76,51.29,18.73,11.95,9.26,4,2.5,3.232,2.039,1.063,0.13,1855,Europe and Central Asia
,1955,15,64,26.71,54.03,20.77,14.85,11.52,4.41,2.8,3.693,2.266,1.282,0.144,2324,Europe and Central Asia
,1960,15,64,19.4,53.55,21.13,20.1,14.8,6.95,3.98,4.581,2.576,1.787,0.219,2707,Europe and Central Asia
,1965,15,64,15.8,53.17,22.09,22.29,17.53,8.73,5,5.098,2.746,2.077,0.275,3123,Europe and Central Asia
,1970,15,64,12,51.31,22.73,27.3,21.89,9.4,5.45,5.706,2.948,2.461,0.297,3566,Europe and Central Asia
,1975,15,64,8.46,46.83,22.29,34.41,29.87,10.3,5.95,6.534,3.171,3.038,0.325,4068,Europe and Central Asia
,1980,15,64,5.55,37.86,18.83,45.83,40.48,10.76,6.22,7.592,3.398,3.855,0.34,4448,Europe and Central Asia
,1985,15,64,3.27,33.44,17.27,51.94,46.86,11.35,7.03,8.242,3.546,4.329,0.368,4778,Europe and Central Asia
,1990,15,64,1.67,29.7,15.96,58.23,53.04,10.42,6.93,8.708,3.659,4.702,0.347,5109,Europe and Central Asia
,1995,15,64,1.04,16,8.92,70.43,63.46,12.52,7.97,9.894,3.817,5.667,0.41,4933,Europe and Central Asia
,2000,15,64,0.31,3.5,1.86,82.07,73.16,14.12,9.19,10.976,3.955,6.555,0.466,4769,Europe and Central Asia
,2005,15,64,0.02,0.63,0.44,81.79,73.87,17.55,11.44,11.371,3.995,6.796,0.58,4898,Europe and Central Asia
,2010,15,64,0.25,2.47,1.5,78.82,65.67,18.46,11.53,11.117,3.971,6.547,0.6,5025,Europe and Central Asia
,2015,15,64,0.17,1.27,0.97,80.33,68.6,18.32,11.61,11.26,3.991,6.671,0.599,5677,Europe and Central Asia
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Kyrgyzstan,1950,15,64,22.49,47.03,28.47,24.31,13.12,6.17,3.98,4.842,2.729,1.91,0.203,514,Europe and Central Asia
,1955,15,64,18.68,46.71,28.34,27.93,14.96,6.69,4.33,5.27,2.886,2.164,0.22,553,Europe and Central Asia
,1960,15,64,12.94,53.45,33.82,25.07,15.72,8.55,5.26,5.532,3.09,2.166,0.276,569,Europe and Central Asia
,1965,15,64,10.21,52.27,33.29,27.88,18.06,9.64,6.11,5.957,3.212,2.43,0.315,616,Europe and Central Asia
,1970,15,64,8.11,49.91,34.91,31.69,22.21,10.28,6.39,6.458,3.376,2.749,0.334,722,Europe and Central Asia
,1975,15,64,6,46.74,33.95,35.87,27.17,11.39,6.69,7.001,3.504,3.134,0.362,859,Europe and Central Asia
,1980,15,64,4.15,33.26,24.13,50.43,38.99,12.15,6.97,8.186,3.651,4.152,0.382,1008,Europe and Central Asia
,1985,15,64,2.73,29.06,21.4,55.26,44.94,12.95,7.89,8.722,3.737,4.568,0.417,1133,Europe and Central Asia
,1990,15,64,1.7,24.37,18.44,61.58,50.96,12.34,7.86,9.18,3.813,4.962,0.404,1244,Europe and Central Asia
,1995,15,64,0.95,22.49,17.93,64.85,55.39,11.71,7.47,9.425,3.871,5.17,0.384,1291,Europe and Central Asia
,2000,15,64,0.36,23.22,19.99,66.16,57.52,10.12,6.79,9.421,3.915,5.167,0.338,1457,Europe and Central Asia
